position,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,eigencentrality,playerID,PlayerName2,WeightedDegree,Modularity
RB,41.528712,5,0.356481,0.38961,0.002357,0.036034,0.036029,0.001296,0.351354,47853,Darrell Henderson,41.528712,3
QB,36.853049,5,0.370103,0.420292,0.016808,0.074922,0.074911,0.002998,0.73071,34452,Matthew Stafford,36.853049,1
T,8.618697,5,0.340633,0.364351,0.001101,0.015229,0.015226,0.000753,0.152248,42400,Rob Havenstein,8.618697,1
TE,10.83026,5,0.349206,0.377316,0.001285,0.025666,0.025663,0.000974,0.249345,43399,Tyler Higbee,10.83026,1
QB,19.983843,5,0.35574,0.39605,0.00691,0.046771,0.046764,0.002067,0.467066,38538,Ryan Tannehill,19.983843,7
G,2.941176,5,0.333912,0.35171,0.000271,0.008163,0.008161,0.000432,0.083513,53063,Aaron Brewer,2.941176,0
RB,100.672669,5,0.366144,0.409448,0.011072,0.054782,0.054773,0.002402,0.548906,43334,Derrick Henry,100.672669,7
T,2.573529,5,0.326064,0.343777,0.000131,0.008195,0.008193,0.000367,0.078434,40023,Terron Armstead,2.573529,3
QB,7.69467,5,0.338462,0.365682,0.00153,0.027085,0.027083,0.000955,0.254167,41258,Teddy Bridgewater,7.69467,5
G,1.838235,5,0.319237,0.334751,0.000076,0.005583,0.005582,0.000296,0.053766,53471,Liam Eichenberg,1.838235,3
G,1.286765,5,0.3207,0.335498,0.00005,0.005635,0.005634,0.000269,0.05295,52447,Robert Hunt,1.286765,5
SS,18.876911,5,0.367805,0.396807,0.001247,0.034781,0.034786,0.000863,0.330892,53641,Damar Hamlin,18.876911,4
T,6.298309,5,0.330756,0.350584,0.000295,0.011114,0.011112,0.000495,0.106818,47820,Greg Little,6.298309,6
QB,25.352972,5,0.383275,0.423019,0.009505,0.066504,0.066496,0.002276,0.619963,52413,Tua Tagovailoa,25.352972,5
RB,71.907914,5,0.373062,0.416136,0.008935,0.067592,0.067582,0.002282,0.629051,42718,Raheem Mostert,71.907914,5
FB,4.569486,5,0.347473,0.370768,0.000216,0.018099,0.018097,0.000514,0.169718,45268,Patrick Ricard,4.569486,4
RB,32.224244,5,0.340407,0.36881,0.00207,0.027114,0.027111,0.000976,0.258281,52463,J.K. Dobbins,32.224244,4
QB,62.278848,5,0.380059,0.436353,0.020462,0.099789,0.099775,0.003488,0.943497,46101,Lamar Jackson,62.278848,3
DT,2.984694,6,0.289855,0.302327,0.000058,0.002064,0.002065,0.000243,0.019995,55239,Prince Emili,2.984694,4
T,5.514706,5,0.333333,0.354665,0.000343,0.012555,0.012553,0.000564,0.122085,41295,Morgan Moses,5.514706,3
T,5.330882,5,0.342527,0.366374,0.000583,0.017625,0.017622,0.000655,0.168521,46161,Chukwuma Okorafor,5.330882,3
WR,7.676409,5,0.34992,0.374048,0.000634,0.018251,0.018248,0.000702,0.183784,47839,Mecole Hardman,7.676409,7
RB,79.512516,5,0.380341,0.423452,0.009162,0.071792,0.071781,0.002286,0.681948,44995,Aaron Jones,79.512516,4
QB,35.397823,5,0.385096,0.436342,0.016885,0.092415,0.092402,0.003124,0.876708,29851,Aaron Rodgers,35.397823,4
T,3.804022,5,0.328709,0.348063,0.000265,0.010003,0.010001,0.000474,0.096452,40057,David Bakhtiari,3.804022,5
T,1.102941,5,0.29661,0.310216,0.000024,0.0031,0.0031,0.000255,0.030484,54605,Zach Tom,1.102941,6
RB,54.189665,5,0.378285,0.417543,0.007416,0.06053,0.060521,0.001901,0.566254,53536,Michael Carter,54.189665,5
ILB,29.531472,5,0.380905,0.411537,0.002317,0.04147,0.041475,0.001083,0.399145,46085,Tremaine Edmunds,29.531472,4
DT,3.221506,5,0.336098,0.35539,0.000197,0.009621,0.009622,0.000349,0.092581,46232,Tim Settle,3.221506,4
CB,3.563166,5,0.344596,0.365736,0.000262,0.012178,0.01218,0.000412,0.120672,54650,Christian Benford,3.563166,4
DT,14.879697,5,0.361248,0.386721,0.001515,0.019224,0.019227,0.000772,0.187241,41341,DaQuan Jones,14.879697,3
DT,8.424654,5,0.355248,0.38013,0.001021,0.014896,0.014898,0.000625,0.146107,42395,Jordan Phillips,8.424654,3
CB,9.608834,5,0.371711,0.400022,0.001545,0.030738,0.030743,0.000822,0.294955,52647,Dane Jackson,9.608834,4
CB,21.993649,5,0.380435,0.410509,0.003839,0.036895,0.0369,0.001122,0.355674,46190,Taron Johnson,21.993649,4
DT,5.590062,5,0.329764,0.348442,0.000028,0.009526,0.009527,0.000282,0.089897,48520,Anthony Rush,5.590062,0
CB,12.718589,5,0.361757,0.391959,0.000986,0.032255,0.032259,0.000774,0.307697,52424,A.J. Terrell,12.718589,0
DE,19.409135,5,0.360065,0.390119,0.00191,0.028649,0.028653,0.000976,0.274681,53577,Ta'Quon Graham,19.409135,0
CB,5.04954,5,0.345446,0.371169,0.00051,0.019772,0.019775,0.000576,0.18886,52272,Dee Alford,5.04954,0
OLB,2.997447,5,0.330756,0.352002,0.000104,0.00868,0.008682,0.00031,0.083598,54547,DeAngelo Malone,2.997447,0
SS,27.697388,5,0.377914,0.414892,0.006447,0.050163,0.050169,0.00164,0.481674,53469,Richie Grant,27.697388,0
ILB,32.544528,5,0.373514,0.407424,0.003456,0.042627,0.042632,0.001218,0.409222,52527,Mykal Walker,32.544528,0
CB,13.308162,5,0.376344,0.404881,0.001466,0.032531,0.032535,0.000874,0.318715,47816,Byron Murphy,13.308162,2
MLB,16.572524,5,0.381094,0.41224,0.002728,0.037136,0.037141,0.001124,0.364194,52416,Isaiah Simmons,16.572524,2
ILB,8.389634,5,0.350717,0.375433,0.000508,0.017249,0.017251,0.000559,0.174365,43376,Nick Vigil,8.389634,2
OLB,25.920408,5,0.38674,0.418799,0.004203,0.040984,0.04099,0.001353,0.406483,53445,Zaven Collins,25.920408,2
ILB,28.511607,5,0.359393,0.389372,0.001094,0.029095,0.029099,0.000868,0.288763,47931,Dre Greenlaw,28.511607,1
DE,7.961236,5,0.350318,0.377413,0.000808,0.017664,0.017667,0.000627,0.175234,54526,Drake Jackson,7.961236,1
ILB,32.408206,5,0.36398,0.397435,0.002594,0.034314,0.034318,0.001189,0.342824,46139,Fred Warner,32.408206,1
DE,23.708411,5,0.363293,0.395433,0.00343,0.030077,0.030081,0.001148,0.301926,44938,Samson Ebukam,23.708411,1
FS,10.21139,5,0.356812,0.386883,0.000954,0.027434,0.027438,0.000754,0.27135,38868,Tashaun Gipson,10.21139,1
DT,8.084214,5,0.345679,0.371916,0.000836,0.017686,0.017689,0.000593,0.177858,48123,Kevin Givens,8.084214,1
ILB,31.746127,5,0.379965,0.412208,0.003369,0.047281,0.047287,0.001148,0.443487,46088,Leighton Vander Esch,31.746127,6
CB,10.366088,5,0.370549,0.400141,0.001889,0.036018,0.036024,0.000899,0.335899,52459,Trevon Diggs,10.366088,6
FS,18.706322,5,0.356729,0.384838,0.001672,0.02736,0.027364,0.000856,0.259052,43533,Jayron Kearse,18.706322,6
SS,9.513786,5,0.337202,0.360325,0.000568,0.016559,0.01656,0.00053,0.158946,43407,Juston Burris,9.513786,5
ILB,43.026984,5,0.377266,0.413258,0.003265,0.053964,0.053971,0.001322,0.511502,42368,Shaq Thompson,43.026984,5
DE,10.008884,5,0.345446,0.36934,0.000658,0.016005,0.016007,0.000498,0.152392,42436,Henry Anderson,10.008884,5
OLB,24.533925,5,0.370549,0.404383,0.003147,0.040275,0.04028,0.001207,0.384167,47799,Brian Burns,24.533925,5
CB,7.723039,5,0.363894,0.393084,0.001147,0.02789,0.027895,0.000769,0.268603,46124,Donte Jackson,7.723039,0
DT,24.593718,5,0.369482,0.403236,0.00396,0.03717,0.037175,0.001214,0.35532,43441,Matt Ioannidis,24.593718,5
DT,31.040653,5,0.370906,0.407825,0.004679,0.045221,0.045226,0.001468,0.431778,52415,Derrick Brown,31.040653,5
FS,15.731854,5,0.367454,0.400639,0.002805,0.038689,0.038694,0.001163,0.368797,52852,Myles Hartsfield,15.731854,5
OLB,12.373571,5,0.315315,0.335065,0.000057,0.010317,0.010318,0.000412,0.102322,46157,Oren Burks,12.373571,1
DT,14.008184,5,0.352887,0.378766,0.000653,0.018035,0.018038,0.000616,0.178814,43405,Hassan Ridgeway,14.008184,1
SS,20.340149,5,0.363036,0.394026,0.002068,0.031481,0.031485,0.000957,0.311711,53609,Talanoa Hufanga,20.340149,1
CB,17.532975,5,0.358306,0.386905,0.00088,0.026559,0.026563,0.000778,0.265087,46757,Charvarius Ward,17.532975,1
FS,18.760118,5,0.361418,0.394048,0.001433,0.033329,0.033333,0.000909,0.323289,43306,Keanu Neal,18.760118,3
OLB,12.36145,5,0.356317,0.385606,0.000817,0.022354,0.022357,0.000703,0.218991,47890,Anthony Nelson,12.36145,3
CB,5.527229,5,0.330259,0.352749,0.000183,0.012471,0.012473,0.000417,0.122687,47822,Sean Murphy-Bunting,5.527229,3
NT,23.719128,5,0.366231,0.400682,0.002984,0.034128,0.034132,0.001172,0.333127,46081,Vita Vea,23.719128,3
ILB,29.221822,5,0.371711,0.40816,0.003536,0.048581,0.048587,0.001408,0.469109,38588,Lavonte David,29.221822,3
OLB,21.288747,5,0.362524,0.39619,0.003898,0.029672,0.029676,0.001173,0.290467,53461,Joe Tryon,21.288747,3
NT,14.452346,5,0.35313,0.381364,0.000847,0.022687,0.022689,0.000695,0.219521,42560,Rakeem Nunez-Roches,14.452346,3
DE,18.297193,5,0.36074,0.391396,0.001003,0.028877,0.02888,0.00079,0.280717,40074,William Gholston,18.297193,3
WR,22.877931,5,0.355412,0.388258,0.002594,0.038169,0.038163,0.001309,0.368576,44881,Cooper Kupp,22.877931,1
WR,6.558779,5,0.339132,0.360552,0.000264,0.014925,0.014923,0.000559,0.145444,41290,Allen Robinson,6.558779,1
MLB,14.643879,5,0.371084,0.399037,0.002116,0.02967,0.029675,0.000886,0.286019,44976,Matt Milano,14.643879,4
WR,6.367786,5,0.339058,0.361039,0.000483,0.016512,0.01651,0.000635,0.159649,53678,Ben Skowronek,6.367786,1
TE,1.815355,5,0.33104,0.347792,0.000046,0.008231,0.00823,0.000281,0.076629,46192,Durham Smythe,1.815355,4
WR,14.566258,5,0.356647,0.387186,0.001839,0.039157,0.039151,0.001199,0.362544,53435,Jaylen Waddle,14.566258,5
RB,26.703742,5,0.356564,0.387024,0.001365,0.03767,0.037665,0.001079,0.348877,46203,Chase Edmonds,26.703742,4
RB,19.54758,5,0.35313,0.381753,0.001058,0.026288,0.026284,0.000869,0.248506,47896,Justice Hill,19.54758,4
WR,8.969444,5,0.349682,0.377219,0.000458,0.027979,0.027976,0.000716,0.262117,52500,Devin Duvernay,8.969444,3
RB,44.195215,5,0.366841,0.402998,0.004308,0.04432,0.044313,0.00159,0.444453,52440,Clyde Edwards-Helaire,44.195215,3
QB,44.923718,5,0.380623,0.431461,0.019567,0.075241,0.07523,0.003285,0.760207,44822,Patrick Mahomes,44.923718,7
TE,4.174367,5,0.341312,0.362359,0.000236,0.013332,0.013331,0.000536,0.134698,53591,Noah Gray,4.174367,7
RB,28.186569,5,0.361842,0.392608,0.002496,0.032263,0.032258,0.001264,0.324929,41325,Jerick McKinnon,28.186569,7
RB,30.516004,5,0.359309,0.389253,0.002011,0.031535,0.03153,0.001092,0.314284,54716,Isiah Pacheco,30.516004,3
TE,17.58543,5,0.359142,0.390335,0.002176,0.034546,0.034541,0.001263,0.344832,40011,Travis Kelce,17.58543,7
SS,9.288115,5,0.356812,0.381591,0.000521,0.020679,0.020683,0.000543,0.200494,40166,Jordan Poyer,9.288115,4
CB,14.087923,5,0.376068,0.404448,0.002634,0.031209,0.031214,0.000967,0.299645,54488,Kaiir Elam,14.087923,4
RB,75.699617,5,0.376989,0.416147,0.007264,0.0585,0.058491,0.001932,0.553491,52470,A.J. Dillon,75.699617,4
WR,4.018059,5,0.340783,0.360714,0.000134,0.015055,0.015054,0.000443,0.141617,54499,Christian Watson,4.018059,6
TE,11.533693,5,0.356152,0.383604,0.001027,0.031732,0.031727,0.0009,0.29858,45635,Robert Tonyan,11.533693,4
OLB,13.82114,5,0.380247,0.409859,0.003909,0.029452,0.029457,0.001081,0.288998,37075,Von Miller,13.82114,7
QB,22.410462,4,0.380247,0.420292,0.009901,0.065989,0.065981,0.002194,0.616246,53431,Zach Wilson,22.410462,5
WR,12.600763,5,0.359477,0.387803,0.001423,0.033139,0.033134,0.00103,0.311138,54475,Garrett Wilson,12.600763,5
RB,54.026048,5,0.372972,0.407803,0.005346,0.042871,0.042865,0.001558,0.423928,52733,James Robinson,54.026048,7
DT,5.15872,5,0.353049,0.377846,0.00094,0.017972,0.017975,0.0006,0.175559,47792,Ed Oliver,5.15872,3
TE,3.012974,5,0.344134,0.364156,0.000207,0.013415,0.013414,0.000423,0.125293,42500,C.J. Uzomah,3.012974,5
OLB,6.217845,5,0.35313,0.375184,0.000418,0.013255,0.013257,0.000462,0.127541,53490,Carlos Basham,6.217845,4
WR,5.222355,5,0.338834,0.359859,0.000204,0.013409,0.013407,0.000459,0.129651,46830,Brandon Powell,5.222355,5
FS,2.872753,5,0.307569,0.322652,0.000003,0.005236,0.005237,0.000213,0.05109,40107,Micah Hyde,2.872753,4
DE,4.184296,5,0.349048,0.370768,0.00029,0.011591,0.011593,0.000447,0.112845,52462,A.J. Epenesa,4.184296,4
CB,6.791901,5,0.349841,0.375855,0.000522,0.019923,0.019926,0.000622,0.19347,38592,Casey Hayward,6.791901,0
OLB,7.844548,5,0.328709,0.349416,0.000117,0.01088,0.01088,0.000441,0.106283,53611,Adetokunbo Ogundeji,7.844548,0
OLB,19.454705,5,0.369039,0.401061,0.001947,0.036868,0.036873,0.000982,0.351829,46135,Lorenzo Carter,19.454705,0
FS,3.748982,5,0.311552,0.329632,0.000017,0.006891,0.006892,0.000262,0.067362,39908,Erik Harris,3.748982,0
ILB,13.355378,5,0.362097,0.391472,0.00254,0.02973,0.029734,0.000871,0.284693,54523,Troy Andersen,13.355378,0
RB,32.59232,5,0.35192,0.384621,0.002363,0.034179,0.034174,0.001296,0.332818,52460,Cam Akers,32.59232,0
FS,19.617788,5,0.371711,0.404394,0.002355,0.042137,0.042143,0.001098,0.400309,52542,Jaylinn Hawkins,19.617788,0
ILB,53.874468,5,0.380153,0.41895,0.006175,0.056426,0.056432,0.001681,0.541144,46091,Rashaan Evans,53.874468,0
OLB,12.764385,5,0.365189,0.396461,0.003879,0.029039,0.029043,0.001133,0.281505,54503,Arnold Ebiketie,12.764385,0
DT,26.766864,5,0.374787,0.410022,0.005127,0.04193,0.041936,0.001394,0.402332,42480,Grady Jarrett,26.766864,0
CB,5.681651,5,0.334855,0.357002,0.000217,0.013978,0.013979,0.000431,0.132451,53537,Darren Hall,5.681651,0
FS,20.422062,5,0.376989,0.408344,0.002776,0.037996,0.038001,0.001206,0.374423,49410,Jalen Thompson,20.422062,2
SS,36.288521,5,0.382229,0.413842,0.00288,0.040808,0.040813,0.001192,0.402885,44848,Budda Baker,36.288521,2
DE,15.151115,5,0.377174,0.407403,0.004352,0.029044,0.029049,0.001213,0.289556,37084,J.J. Watt,15.151115,2
OLB,7.966338,5,0.359813,0.387327,0.001462,0.023262,0.023266,0.000807,0.233809,46657,Dennis Gardeck,7.966338,2
OLB,4.800611,5,0.363379,0.386667,0.001098,0.018245,0.018247,0.000532,0.178921,41403,Devon Kennard,4.800611,2
TE,0.973973,5,0.317199,0.332121,0.00001,0.004593,0.004593,0.000217,0.045415,48766,Kendall Blanton,0.973973,1
DE,30.928874,5,0.382229,0.415368,0.005961,0.037397,0.037402,0.001448,0.37321,47848,Zach Allen,30.928874,2
CB,2.721713,5,0.32906,0.349708,0.000106,0.009217,0.009219,0.000335,0.093126,52945,Jace Whittaker,2.721713,7
OLB,25.452567,5,0.380341,0.412056,0.003664,0.033469,0.033473,0.00125,0.33481,42401,Markus Golden,25.452567,2
DE,13.877042,5,0.355905,0.384123,0.001415,0.02197,0.021974,0.000784,0.218982,47785,Nick Bosa,13.877042,1
CB,10.228809,5,0.346925,0.374675,0.000923,0.022274,0.022277,0.000736,0.224075,53601,Deommodore Lenoir,10.228809,1
CB,8.652219,5,0.35192,0.377738,0.000834,0.019358,0.019361,0.000607,0.191798,46354,Emmanuel Moseley,8.652219,1
DT,3.419282,5,0.323394,0.342424,0.000155,0.008172,0.008174,0.000299,0.078629,42360,Arik Armstead,3.419282,6
DE,15.248592,5,0.356399,0.3871,0.001592,0.023376,0.023379,0.000909,0.235307,47944,Charles Omenihu,15.248592,1
DE,4.702631,5,0.350558,0.376331,0.000453,0.014764,0.014766,0.000491,0.147227,41786,Kerry Hyder,4.702631,1
DE,26.490366,5,0.375793,0.409123,0.005305,0.0405,0.040506,0.001399,0.385372,41263,Demarcus Lawrence,26.490366,6
DE,11.279221,5,0.364497,0.392803,0.001736,0.025386,0.02539,0.000868,0.24201,46185,Dorance Armstrong,11.279221,6
DT,4.544167,5,0.35386,0.377771,0.000639,0.016316,0.016319,0.000485,0.15519,47841,Trysten Hill,4.544167,6
CB,10.685757,5,0.363036,0.391526,0.000965,0.029316,0.02932,0.000726,0.273419,44904,Jourdan Lewis,10.685757,6
WR,0.8237,5,0.322581,0.336948,0.000005,0.004655,0.004655,0.00019,0.044538,53486,Tutu Atwell,0.8237,5
OLB,20.08876,5,0.373062,0.403063,0.002027,0.037252,0.037257,0.000952,0.349513,41235,Anthony Barr,20.08876,6
SS,26.065661,5,0.378844,0.411613,0.003508,0.048291,0.048298,0.00121,0.452255,47996,Donovan Wilson,26.065661,6
CB,15.149302,5,0.365275,0.394513,0.001399,0.032138,0.032142,0.000827,0.302569,43478,Anthony Brown,15.149302,6
OLB,22.444136,5,0.380341,0.414751,0.005097,0.048499,0.048506,0.001435,0.457849,53441,Micah Parsons,22.444136,6
DT,11.095908,5,0.36763,0.394946,0.001046,0.028421,0.028425,0.00074,0.265874,53504,Osa Odighizuwa,11.095908,6
DE,3.618464,5,0.32906,0.353182,0.000299,0.011067,0.011069,0.000376,0.106771,54521,Sam Williams,3.618464,5
OLB,7.7213,5,0.362183,0.39079,0.002389,0.025939,0.025943,0.00086,0.246145,42346,Dante Fowler,7.7213,6
DE,6.466,5,0.32634,0.34408,0.000103,0.007537,0.007538,0.000307,0.071233,44955,Carlos Watkins,6.466,6
FS,16.48697,5,0.366492,0.395974,0.001316,0.035526,0.035532,0.000833,0.3319,44827,Malik Hooker,16.48697,6
OLB,15.243535,5,0.361502,0.391115,0.001086,0.029765,0.029768,0.00086,0.281924,43797,Cory Littleton,15.243535,5
CB,3.499975,5,0.330472,0.357781,0.000346,0.017792,0.017795,0.000488,0.167976,53595,Keith Taylor,3.499975,5
CB,9.765533,5,0.362183,0.393366,0.001273,0.032897,0.032902,0.000843,0.308843,52417,C.J. Henderson,9.765533,5
FS,29.270578,5,0.369216,0.406558,0.004293,0.045225,0.045231,0.001422,0.428868,45004,Xavier Woods,29.270578,5
OLB,20.960979,5,0.365102,0.395606,0.001213,0.032883,0.032886,0.000869,0.313406,52446,Yetur Gross-Matos,20.960979,5
RB,8.791914,5,0.317068,0.335639,0.000035,0.008774,0.008774,0.00039,0.087671,55145,Ronnie Rivers,8.791914,1
OLB,0.220723,6,0.270223,0.286786,0,0.002281,0.002282,0.000146,0.022397,54949,Arron Mosby,0.220723,1
MLB,16.767953,5,0.369482,0.401028,0.001891,0.033341,0.033345,0.000985,0.316422,42470,Damien Wilson,16.767953,5
RB,10.195063,5,0.332901,0.354567,0.000323,0.01349,0.013488,0.000561,0.131616,42837,Malcolm Brown,10.195063,1
FS,4.463268,5,0.316417,0.335487,0.000047,0.008421,0.008422,0.000313,0.084649,41256,Jimmie Ward,4.463268,1
CB,0.882892,5,0.307018,0.327662,0.000057,0.005912,0.005913,0.000244,0.059656,53531,Ambry Thomas,0.882892,1
DT,0.228788,6,0.270508,0.287327,0.000001,0.002249,0.00225,0.000147,0.022326,43092,T.Y. McGill,0.228788,1
ILB,42.849391,5,0.375335,0.413571,0.005162,0.053421,0.053427,0.001591,0.516699,47788,Devin White,42.849391,3
CB,14.378808,5,0.361672,0.394729,0.001829,0.03556,0.035565,0.001012,0.342704,46132,Carlton Davis,14.378808,3
CB,14.265464,5,0.365535,0.398149,0.002167,0.037058,0.037063,0.001106,0.355987,47877,Jamel Dean,14.265464,3
DE,1.216912,6,0.270745,0.288517,0.000036,0.002767,0.002768,0.000244,0.028155,46219,Genard Avery,1.216912,1
FS,31.67178,5,0.369128,0.406981,0.003493,0.046419,0.046424,0.001441,0.45061,47882,Mike Edwards,31.67178,3
WR,3.151379,5,0.319039,0.336472,0.000044,0.007586,0.007585,0.000339,0.075992,54483,Treylon Burks,3.151379,7
TE,3.961437,5,0.332757,0.352673,0.000333,0.010679,0.010678,0.0005,0.107653,43370,Austin Hooper,3.961437,7
WR,6.756384,5,0.342451,0.365346,0.000438,0.018465,0.018462,0.000672,0.184251,39989,Robert Woods,6.756384,7
WR,4.773868,5,0.341085,0.363799,0.000187,0.017647,0.017645,0.000515,0.166914,43415,Demarcus Robinson,4.773868,3
TE,12.914632,5,0.349603,0.378777,0.001086,0.031894,0.03189,0.000911,0.29851,46155,Mark Andrews,12.914632,3
C,2.00105,5,0.310046,0.323452,0.000031,0.003356,0.003355,0.000251,0.034214,46376,Coleman Shelton,2.00105,3
CB,2.298137,6,0.283505,0.298279,0.000058,0.002033,0.002033,0.000222,0.019578,48495,Tae Hayes,2.298137,5
G,4.044118,5,0.332973,0.354069,0.000524,0.011172,0.01117,0.000609,0.115275,43367,Joe Thuney,4.044118,3
T,5.147059,5,0.340331,0.361699,0.000504,0.01182,0.011818,0.00058,0.121037,46152,Orlando Brown,5.147059,7
WR,5.652664,5,0.333478,0.354405,0.000118,0.013939,0.013937,0.000458,0.129189,53456,Rashod Bateman,5.652664,3
WR,15.724481,5,0.350398,0.380119,0.001109,0.034167,0.034163,0.001002,0.319707,47849,Diontae Johnson,15.724481,3
RB,72.671281,5,0.365709,0.409556,0.009022,0.06667,0.06666,0.002292,0.627134,53453,Najee Harris,72.671281,3
QB,25.055773,5,0.360487,0.402662,0.008954,0.061338,0.06133,0.002244,0.576905,54485,Kenny Pickett,25.055773,3
WR,7.069319,5,0.339506,0.362587,0.000417,0.017972,0.01797,0.000671,0.168497,54517,George Pickens,7.069319,3
RB,17.638566,5,0.351037,0.380877,0.002771,0.03042,0.030416,0.001109,0.28516,54905,Jaylen Warren,17.638566,6
WR,13.80767,5,0.35443,0.383301,0.00156,0.030219,0.030214,0.001092,0.302619,44874,JuJu Smith-Schuster,13.80767,7
WR,9.210257,5,0.352483,0.376223,0.000376,0.024094,0.024091,0.000651,0.226373,54597,Romeo Doubs,9.210257,4
WR,1.428117,6,0.33104,0.347478,0.001321,0.007887,0.007887,0.000377,0.074511,53514,Amari Rodgers,1.428117,4
RB,3.694577,5,0.336098,0.353387,0.000132,0.009719,0.009718,0.000382,0.092603,47969,Ty Johnson,3.694577,4
MLB,5.859377,5,0.326479,0.343885,0.00009,0.008015,0.008015,0.000342,0.076573,54554,Terrel Bernard,5.859377,3
OLB,10.17064,5,0.356895,0.385606,0.000793,0.02321,0.023213,0.000674,0.226509,43354,Carl Nassib,10.17064,3
WR,2.120917,5,0.331183,0.348506,0.000095,0.009042,0.009041,0.000371,0.089554,53074,Nick Westbrook-Ikhine,2.120917,7
T,5.514706,5,0.329764,0.350465,0.000357,0.011221,0.011218,0.000581,0.112307,46158,Joseph Noteboom,5.514706,1
C,1.654412,6,0.290402,0.304859,0.000051,0.003074,0.003073,0.000263,0.031052,46180,Brian Allen,1.654412,3
G,3.125,5,0.323054,0.340877,0.000185,0.007654,0.007652,0.000385,0.074621,47952,David Edwards,3.125,6
T,6.433824,5,0.328919,0.348084,0.00035,0.010709,0.010707,0.000537,0.107244,47995,Dennis Daley,6.433824,7
T,4.411765,5,0.327451,0.346028,0.00024,0.008277,0.008275,0.000458,0.0858,54534,Nicholas Petit-Frere,4.411765,7
G,2.022059,5,0.318445,0.335368,0.000132,0.005739,0.005738,0.000327,0.05961,47865,Nate Davis,2.022059,0
G,2.389706,5,0.322648,0.339329,0.000097,0.006326,0.006325,0.000342,0.061458,46108,James Daniels,2.389706,6
C,3.860294,5,0.333622,0.354848,0.000264,0.013011,0.013008,0.000509,0.123788,46166,Mason Cole,3.860294,5
G,4.044118,5,0.33522,0.356093,0.000317,0.011555,0.011553,0.00049,0.111081,52543,Kevin Dotson,4.044118,6
T,5.514706,5,0.337645,0.358474,0.000335,0.012776,0.012774,0.000515,0.123459,53557,Dan Moore,5.514706,3
T,6.801471,5,0.34101,0.362457,0.000501,0.012536,0.012534,0.000603,0.128274,45695,Andrew Wylie,6.801471,7
G,2.205882,6,0.313837,0.328734,0.00008,0.004159,0.004158,0.000308,0.043558,53655,Trey Smith,2.205882,7
T,3.676471,5,0.336465,0.355152,0.000278,0.010273,0.010271,0.000476,0.100163,48181,Yosuah Nijman,3.676471,6
G,6.801471,5,0.35386,0.378171,0.001188,0.020826,0.020823,0.000797,0.198238,42371,Laken Tomlinson,6.801471,5
T,1.286765,5,0.308741,0.324383,0.000044,0.004788,0.004787,0.000267,0.047396,42364,Cedric Ogbuehi,1.286765,4
DT,3.290766,5,0.334783,0.353961,0.000051,0.00973,0.009731,0.000265,0.091777,53513,Chauncey Golston,3.290766,6
DT,25.799082,5,0.362694,0.395292,0.00461,0.028372,0.028377,0.001315,0.288583,47802,Jeffery Simmons,25.799082,7
FS,7.180576,5,0.321235,0.339924,0.00014,0.008663,0.008664,0.000334,0.083871,52512,Terrell Burgess,7.180576,1
RB,14.47038,5,0.32157,0.343907,0.000576,0.012952,0.01295,0.000573,0.126694,53555,Chuba Hubbard,14.47038,3
DE,1.428571,6,0.279543,0.289968,0,0.001043,0.001043,0.000149,0.010285,52846,Jonah Williams,1.428571,3
WR,6.15732,5,0.345601,0.367825,0.000269,0.015934,0.015933,0.000578,0.154165,48374,Olamide Zaccheaus,6.15732,3
T,2.757353,5,0.318116,0.334708,0.000366,0.00542,0.005419,0.000401,0.053815,54471,Ikem Ekwonu,2.757353,3
TE,0.923059,5,0.316482,0.331093,0.000022,0.004434,0.004434,0.000243,0.043662,46331,Ross Dwelley,0.923059,1
T,3.492647,5,0.328428,0.347911,0.000166,0.00948,0.009479,0.000418,0.093976,42367,D.J. Humphries,3.492647,6
FS,13.466836,5,0.345291,0.369048,0.000882,0.019027,0.019029,0.000699,0.179736,47964,Jaquan Johnson,13.466836,3
TE,3.357934,5,0.335585,0.353517,0.000115,0.010129,0.010128,0.000416,0.096367,52502,Josiah Deguara,3.357934,1
C,1.654412,6,0.318841,0.334903,0.000096,0.005621,0.00562,0.0003,0.056886,53492,Creed Humphrey,1.654412,3
G,2.559774,5,0.321906,0.337522,0.000102,0.006636,0.006635,0.000375,0.063851,52600,Jon Runyan,2.559774,5
G,1.838235,6,0.313135,0.329968,0.000053,0.00657,0.006569,0.00029,0.061317,48513,Nate Herbig,1.838235,5
ILB,13.166263,5,0.348495,0.375152,0.00064,0.019747,0.01975,0.000694,0.200602,45643,Dylan Cole,13.166263,7
DE,7.094294,5,0.34599,0.369968,0.001688,0.015525,0.015528,0.000605,0.157476,44863,DeMarcus Walker,7.094294,7
ILB,40.105267,5,0.367893,0.403452,0.002402,0.054352,0.054358,0.001296,0.496617,43325,Myles Jack,40.105267,5
DT,8.533546,5,0.337497,0.361916,0.000493,0.014556,0.014558,0.000551,0.136929,46771,Abdullah Anderson,8.533546,0
CB,6.715553,5,0.337571,0.35908,0.000076,0.012733,0.012734,0.000378,0.121858,46823,Mike Ford,6.715553,0
ILB,11.91733,5,0.366492,0.391818,0.000516,0.023973,0.023976,0.000614,0.233219,46521,Ben Niemann,11.91733,2
